#{"t_start": 1776947966.838218, "env_id": "HalfCheetah-v5"}
r,l,t
1381.04308,1000,186.107919
1457.644589,1000,186.463497
1309.904844,1000,186.572326
1490.266602,1000,186.924837
1419.702398,1000,187.036408
1417.188803,1000,187.384085
1438.969627,1000,187.494589
1187.095003,1000,187.834451
1488.160835,1000,187.940675
1482.752493,1000,188.275702
1471.172244,1000,188.382684
1442.288829,1000,188.720528
1503.839106,1000,188.826602
1364.561846,1000,189.160712
1424.505254,1000,189.268581
1468.8672,1000,189.613517
1307.290065,1000,189.724213
1473.206408,1000,189.833703
1410.858241,1000,190.171465
1418.248833,1000,190.277665
1462.236632,1000,190.612122
1451.583235,1000,190.718644
1508.127225,1000,191.05313
1473.715563,1000,191.159039
681.152715,1000,191.507988
1394.933865,1000,191.616721
1367.051084,1000,191.963581
1408.392853,1000,192.070781
1320.059662,1000,192.423103
1529.137119,1000,192.532276
1546.85766,1000,192.88105
1459.340992,1000,192.992358
1345.773289,1000,193.363589
1213.490965,1000,193.473479
1473.725003,1000,193.811654
1404.935523,1000,193.918197
1500.460071,1000,194.263036
1477.725064,1000,194.368819
1518.393464,1000,194.738083
1404.688847,1000,194.843847
1420.956195,1000,195.178631
1490.774513,1000,195.284239
1436.156528,1000,195.621017
1364.406592,1000,195.730215
1293.52739,1000,196.065117
1467.024228,1000,196.170564
1222.700344,1000,196.505718
1450.469445,1000,196.611113
1417.626486,1000,196.945332
1426.50027,1000,197.050573
1426.437208,1000,197.3837
1454.708678,1000,197.49095
1326.799894,1000,197.826206
1482.839119,1000,197.932045
1483.9672,1000,198.2657
1301.959769,1000,198.372908
1475.426899,1000,198.707837
1485.716932,1000,198.814615
1464.578079,1000,199.148404
1481.779371,1000,199.254083
1472.018679,1000,199.359966
1425.368615,1000,199.694577
1434.880896,1000,199.800603
1438.77474,1000,200.137223
1533.943412,1000,200.244997
1492.551118,1000,200.580333
1459.794819,1000,200.68651
1573.040743,1000,201.020365
1454.327037,1000,201.127778
1411.877343,1000,201.462668
1421.046197,1000,201.568972
1528.427201,1000,201.902771
1491.967479,1000,202.008742
1441.996847,1000,202.343786
1560.240066,1000,202.450562
1487.910531,1000,202.784395
1382.229389,1000,202.890809
1347.412832,1000,203.227027
1482.979951,1000,203.334604
1364.34866,1000,203.669151
1471.296492,1000,203.776369
1494.959796,1000,204.109764
1435.741645,1000,204.215152
1431.524528,1000,204.54825
1363.641785,1000,204.654091
1348.529063,1000,204.990404
1299.420511,1000,205.096264
1453.926569,1000,205.430553
1479.365536,1000,205.536035
1489.682516,1000,205.869551
1434.176332,1000,205.977038
1467.121212,1000,206.31601
1433.308671,1000,206.435178
1487.283775,1000,206.840423
1463.305761,1000,206.953165
1446.046139,1000,207.30009
1495.664164,1000,207.432511
1504.843011,1000,207.834446
1477.719604,1000,207.9505
1413.815533,1000,208.302393
1413.012891,1000,208.415889
1327.495886,1000,208.81084
1474.980651,1000,208.925128
1471.447177,1000,209.032364
1512.986951,1000,209.379588
1509.016113,1000,209.489495
1519.249977,1000,209.832486
1501.639808,1000,209.940399
1485.580575,1000,210.298029
1493.144938,1000,210.415679
1450.710907,1000,210.760977
1384.354538,1000,210.866423
1514.705391,1000,211.215031
1209.426236,1000,211.322947
1501.385656,1000,211.6639
1505.469164,1000,211.770758
1304.638568,1000,212.123337
1525.236887,1000,212.233097
1563.154804,1000,212.57905
1508.420029,1000,212.688763
1500.065284,1000,213.033976
1546.882867,1000,213.145325
1425.599263,1000,213.492325
1472.428517,1000,213.600164
1363.264588,1000,213.944603
1490.977541,1000,214.051685
1379.487727,1000,214.419501
1335.328616,1000,214.528524
1511.558253,1000,214.875894
1456.985328,1000,214.984662
1389.532171,1000,215.358226
1493.20381,1000,215.468378
1496.123775,1000,215.812216
1535.802344,1000,215.920524
1561.079077,1000,216.290004
1469.700491,1000,216.396185
1554.181351,1000,216.757205
1089.135293,1000,216.870976
1462.954918,1000,217.217145
1422.356426,1000,217.323719
1386.452835,1000,217.67643
1503.37729,1000,217.80476
1500.244386,1000,218.150849
1186.194612,1000,218.282163
1522.528884,1000,218.630169
1266.661259,1000,218.736627
1474.561961,1000,218.844625
1451.816575,1000,219.196962
1574.705302,1000,219.317787
1399.364364,1000,219.69395
1498.583743,1000,219.812799
1421.395966,1000,220.184084
1396.926579,1000,220.332684
1504.433336,1000,220.681641
1501.752978,1000,220.79064
1311.493741,1000,221.136377
1480.408959,1000,221.254877
1496.013722,1000,221.623893
1405.617738,1000,221.73943
1417.032182,1000,222.112372
1530.237749,1000,222.219411
1459.405126,1000,222.557701
1511.727845,1000,222.664148
1498.826947,1000,223.002222
1326.007407,1000,223.110551
