#{"t_start": 1776950359.511148, "env_id": "HalfCheetah-v5"}
r,l,t
1223.640999,1000,78.41039
856.989967,1000,78.740914
1191.902884,1000,78.846849
1138.497296,1000,79.193797
1007.579002,1000,79.301219
1560.48471,1000,79.632589
1353.663057,1000,79.762806
1215.298541,1000,80.09592
1190.049159,1000,80.21221
1362.828733,1000,80.552768
1299.678951,1000,80.659087
1054.164305,1000,80.990614
1205.51434,1000,81.096864
1146.394627,1000,81.42791
1226.147195,1000,81.53569
1348.949323,1000,81.868573
1362.964055,1000,81.975972
1109.735612,1000,82.308003
1256.495562,1000,82.415227
1123.846795,1000,82.747348
1470.889673,1000,82.854736
1183.19949,1000,83.186982
1661.468614,1000,83.293721
1297.361376,1000,83.624754
1064.515173,1000,83.732637
1321.418491,1000,84.072467
1308.747685,1000,84.179651
1338.727597,1000,84.286473
1176.823901,1000,84.619329
1449.174834,1000,84.725907
1325.310373,1000,85.058424
1167.247926,1000,85.165267
1277.531169,1000,85.504146
1222.433616,1000,85.610962
1339.442461,1000,85.94314
1523.882855,1000,86.050297
1551.599284,1000,86.38288
1444.003223,1000,86.490469
1322.939538,1000,86.822794
1449.998596,1000,86.929738
1304.853003,1000,87.261411
1374.755927,1000,87.36876
1426.28248,1000,87.700543
1268.032653,1000,87.807564
1452.106219,1000,88.139045
1622.458064,1000,88.24581
1332.826158,1000,88.577302
1370.079092,1000,88.685569
1156.155283,1000,89.01758
1564.213096,1000,89.124719
1437.134086,1000,89.455985
1499.54722,1000,89.562934
1444.588684,1000,89.895451
1231.700776,1000,90.002604
1513.268827,1000,90.338216
1469.286107,1000,90.445142
1610.143736,1000,90.777215
1611.314593,1000,90.883947
1535.84215,1000,91.2156
1448.553308,1000,91.322743
1493.221826,1000,91.65493
1727.759286,1000,91.762049
1867.341662,1000,92.094524
1254.117263,1000,92.201339
1502.794946,1000,92.533069
1572.552733,1000,92.641152
1802.25544,1000,92.973199
1431.569047,1000,93.080501
1741.069506,1000,93.412608
1427.542297,1000,93.52111
1663.237744,1000,93.628885
1614.159885,1000,93.964362
1180.721315,1000,94.095804
1379.189926,1000,94.432929
1666.284257,1000,94.539082
1816.907536,1000,94.875425
1334.100922,1000,94.982754
1386.063856,1000,95.319576
1444.310355,1000,95.426726
1759.938519,1000,95.758757
1447.722092,1000,95.866737
1280.991979,1000,96.198208
1514.826255,1000,96.305236
1708.228198,1000,96.640026
1748.069752,1000,96.746653
1736.290287,1000,97.079357
1763.314511,1000,97.186526
1608.186325,1000,97.518866
1655.898504,1000,97.626081
1835.922065,1000,97.960082
1730.887562,1000,98.070001
1685.789776,1000,98.405657
1629.203684,1000,98.51293
1648.429177,1000,98.848708
1543.790394,1000,98.956219
1552.033447,1000,99.289395
1730.745898,1000,99.39738
1808.962593,1000,99.734405
1618.496522,1000,99.842263
1771.551986,1000,100.175334
1960.762978,1000,100.284985
1855.733389,1000,100.619277
1487.570584,1000,100.726646
1782.176437,1000,101.059868
1607.917718,1000,101.167195
1942.63573,1000,101.500401
1553.776934,1000,101.607543
1745.836995,1000,101.941204
1686.029263,1000,102.047587
1465.480427,1000,102.380967
1932.140393,1000,102.488381
1846.695192,1000,102.820831
1908.554667,1000,102.927764
1695.07313,1000,103.034571
2064.191761,1000,103.366595
1696.722207,1000,103.49823
1787.294393,1000,103.840862
2202.417777,1000,103.952282
1720.007919,1000,104.303808
1911.558544,1000,104.417525
2043.222683,1000,104.759752
2214.389538,1000,104.876783
1969.777457,1000,105.26736
1726.056516,1000,105.386774
2246.202686,1000,105.770082
1836.476539,1000,105.88114
1924.998548,1000,106.271072
2024.984045,1000,106.383776
2073.044498,1000,106.728136
2009.872591,1000,106.836786
1749.785342,1000,107.183607
1843.666587,1000,107.294972
1903.811534,1000,107.63177
1831.537135,1000,107.739774
2123.897017,1000,108.076714
2006.050467,1000,108.183703
1836.289621,1000,108.517889
1744.091541,1000,108.624216
2113.395035,1000,108.957946
2130.592781,1000,109.064771
2078.372049,1000,109.398928
2235.35116,1000,109.50681
2348.627153,1000,109.842242
1747.099251,1000,109.949298
2042.177772,1000,110.28729
2110.547257,1000,110.393637
1985.794232,1000,110.727205
2296.330641,1000,110.834195
2270.080751,1000,111.168054
2051.739204,1000,111.276163
2059.003437,1000,111.611691
1995.817332,1000,111.718685
2191.43046,1000,112.0513
2243.575871,1000,112.158276
2182.149631,1000,112.266975
2101.223003,1000,112.600673
2396.553789,1000,112.70858
1911.465436,1000,113.042758
2011.532507,1000,113.150905
2223.773043,1000,113.484369
2127.116603,1000,113.591394
