#{"t_start": 1776952293.2457862, "env_id": "HalfCheetah-v5"}
r,l,t
1574.144078,1000,84.540936
1405.022915,1000,84.872154
1423.429446,1000,84.977511
2618.270387,1000,85.309815
3202.557434,1000,85.414762
1394.328861,1000,85.747512
2728.355011,1000,85.853375
1267.759295,1000,86.184553
3094.19555,1000,86.290012
1399.748927,1000,86.624696
2750.506248,1000,86.72928
1755.501093,1000,87.060966
1907.015921,1000,87.167302
2099.622243,1000,87.500413
2703.565176,1000,87.606822
3171.952471,1000,87.93867
1796.965822,1000,88.045167
3204.701424,1000,88.37607
2389.075389,1000,88.482082
2568.213234,1000,88.813774
2950.857644,1000,88.919693
2368.771621,1000,89.250918
2884.488035,1000,89.356529
2345.358493,1000,89.687931
2261.778479,1000,89.794507
2014.958262,1000,90.125573
1497.025483,1000,90.231444
1566.504,1000,90.564152
3143.849548,1000,90.669395
1384.507926,1000,91.000684
3132.654415,1000,91.105673
2040.726501,1000,91.437363
3147.422903,1000,91.54389
1671.533454,1000,91.87896
2390.100952,1000,91.985207
2331.927249,1000,92.091747
2613.371261,1000,92.424579
1404.53701,1000,92.529802
2916.087393,1000,92.861844
2725.976359,1000,92.967486
3309.871372,1000,93.298642
2589.141875,1000,93.403403
1291.823378,1000,93.735013
2323.563108,1000,93.840584
3161.160704,1000,94.171044
1474.063054,1000,94.276212
3168.650779,1000,94.60747
1379.212228,1000,94.713714
2463.458965,1000,95.052599
2522.322512,1000,95.157729
2107.038304,1000,95.492237
1853.212988,1000,95.598078
3232.543012,1000,95.933874
2342.109964,1000,96.04152
2163.146462,1000,96.376664
2873.312637,1000,96.482852
3141.185159,1000,96.81898
1723.583934,1000,96.92524
1864.992681,1000,97.257383
2029.1471,1000,97.362972
1449.257587,1000,97.696129
2620.872971,1000,97.802004
3336.918169,1000,98.135205
2840.567338,1000,98.240919
2683.434762,1000,98.577344
3314.988331,1000,98.683542
2994.785152,1000,99.016167
3226.2706,1000,99.121679
2320.624351,1000,99.452603
2310.076205,1000,99.558298
3150.065075,1000,99.889628
3140.361202,1000,99.996145
2820.359929,1000,100.328579
1522.839875,1000,100.435476
3309.364898,1000,100.766353
1902.639048,1000,100.872088
1766.816705,1000,101.203383
1793.786499,1000,101.310129
2534.905815,1000,101.416316
2202.957298,1000,101.748819
2724.710651,1000,101.855024
1649.92632,1000,102.187792
1541.408904,1000,102.293613
3172.548849,1000,102.624765
3047.629623,1000,102.729361
2177.9558,1000,103.063106
2982.181339,1000,103.168668
2677.870678,1000,103.500265
2044.324373,1000,103.605646
3320.41727,1000,103.936314
3366.285849,1000,104.041424
3212.307064,1000,104.370704
2005.835438,1000,104.475976
3193.298634,1000,104.806704
3479.450866,1000,104.911641
3264.054431,1000,105.245549
1725.435875,1000,105.351835
2956.344753,1000,105.687773
2028.441582,1000,105.796144
3177.775896,1000,106.130035
1758.833111,1000,106.235839
1820.381303,1000,106.572572
1799.59492,1000,106.680958
1833.913893,1000,107.020429
2795.483297,1000,107.125958
2970.917966,1000,107.471783
2317.511679,1000,107.577824
1641.785739,1000,107.908335
2348.749861,1000,108.013599
1839.891947,1000,108.344596
3136.23183,1000,108.450469
2908.57293,1000,108.780847
3211.137747,1000,108.886029
1678.683354,1000,109.217585
3246.0172,1000,109.323235
3101.227686,1000,109.653204
1693.060668,1000,109.758977
3745.319028,1000,110.089313
3412.24101,1000,110.194604
1874.949489,1000,110.30039
3095.691312,1000,110.631712
3275.003851,1000,110.736927
1865.728317,1000,111.068713
3014.353127,1000,111.173458
1850.937761,1000,111.504973
3483.615703,1000,111.610266
2733.333676,1000,111.941672
2875.984111,1000,112.046718
1852.280706,1000,112.379777
3164.622853,1000,112.485212
3201.488108,1000,112.81557
3306.58701,1000,112.920613
2193.939724,1000,113.251633
2589.766054,1000,113.356425
2426.204705,1000,113.688456
3477.729141,1000,113.793167
3516.305325,1000,114.124619
2732.719117,1000,114.230122
1829.342676,1000,114.562194
3322.824571,1000,114.667245
3187.73786,1000,114.999151
3374.315766,1000,115.104354
2428.395729,1000,115.437894
3400.64001,1000,115.542961
3480.186185,1000,115.87454
3183.908965,1000,115.980172
1981.318345,1000,116.31221
3276.204936,1000,116.417375
3109.201053,1000,116.752758
3443.053405,1000,116.858492
3466.174224,1000,117.191155
2792.725639,1000,117.296873
2376.570516,1000,117.629445
1972.024063,1000,117.73648
3451.270069,1000,118.067906
3653.650401,1000,118.173306
1856.053099,1000,118.505132
3594.473372,1000,118.610646
3431.942339,1000,118.942225
3007.316668,1000,119.047258
3492.19979,1000,119.377862
3300.292914,1000,119.483774
3418.441793,1000,119.588456
2693.690207,1000,119.919814
3414.737792,1000,120.024836
2372.321251,1000,120.357198
2159.33423,1000,120.463089
3581.943853,1000,120.797279
3359.094978,1000,120.904476
2999.159453,1000,121.237935
3219.819637,1000,121.34456
3635.442355,1000,121.679186
3476.081392,1000,121.784643
1884.941508,1000,122.118403
2917.076926,1000,122.223183
3327.370744,1000,122.555801
3630.648294,1000,122.661633
2661.481761,1000,122.994511
1825.056896,1000,123.100603
3350.540662,1000,123.431861
2428.170638,1000,123.537457
3811.085397,1000,123.869212
3323.058589,1000,123.973675
2970.178123,1000,124.305402
2164.615383,1000,124.411165
2424.803261,1000,124.743686
3619.749287,1000,124.849273
3795.014631,1000,125.181795
3272.887412,1000,125.287607
3507.770394,1000,125.620886
2767.617562,1000,125.726162
3587.771225,1000,126.057383
2176.488112,1000,126.163302
2365.798744,1000,126.496236
3496.198657,1000,126.603747
3664.869333,1000,126.940868
3638.638188,1000,127.04673
2308.273271,1000,127.380164
3135.066861,1000,127.485544
2580.085332,1000,127.819371
3415.170435,1000,127.925556
3611.146629,1000,128.257885
2863.143279,1000,128.363435
3716.447511,1000,128.695965
3855.893168,1000,128.802375
2939.694218,1000,128.908359
3892.273858,1000,129.242095
